宿名,楽天ID,じゃらんID,緯度,経度,住所,電話番号,
メゾン・クレスタ浦安１０７／民泊,170380,,,35.6455285,139.9090048,千葉県浦安市今川1-2-55メゾン・クレスタ浦安107　Ｍａｉｓｏｎ　Ｃｒｅｓｔａ　Ｕｒａｙａｓｕ,090-1542-5941
ラ・メール浦安１０１／民泊,170378,,,35.6427442,139.9114046,千葉県浦安市今川2-3-27ラ・メール浦安101　Ｌａ　Ｍｅｒ　Ｕｒａｙａｓｕ,090-1542-5941
浦安ブライトンホテル東京ベイ,978,,,35.64997452,139.9120382,千葉県浦安市美浜１丁目９,047-355-7777
オリエンタルホテル東京ベイ,1238,,,35.65057169,139.9126937,千葉県浦安市美浜1-8-2　※お電話のご連絡はこちら⇒【ホテルコード01】0570-051-153,047-350-8111
ペンション　アンバースデイ,40208,,,35.63895359,139.9141801,千葉県浦安市高洲1-22-24,047-721-5151
マイステイズ新浦安,76849,,,35.64386142,139.9158992,千葉県浦安市明海2-1-4,047-709-1600
ハイアット　リージェンシー　東京,1357,,,35.6908751,139.6911886,東京都新宿区西新宿2-7-2,03-3348-1234
京王プラザホテル,930,,,35.69015304,139.6943134,東京都新宿区西新宿2-2-1,03-3344-0111
新宿ワシントンホテル　本館,658,,,35.68699503,139.693133,東京都新宿区西新宿3-2-9,03-3343-3111
ザ　ノット　東京新宿,167724,,,35.6886097,139.6884484,東京都新宿区西新宿4-31-1,03-3375-6511
新宿ワシントンホテル　ＡＮＮＥＸ（別館）,659,,,35.68655895,139.6925414,東京都新宿区西新宿3-2-9,03-3343-3111
ヒルトン東京,1404,,,35.69251379,139.6908552,東京都新宿区西新宿6-6-2,03-3344-5111
Ｔｏｋｙｏ／民泊,174171,,,35.6888514,139.687854,東京都新宿区西新宿4-18-1 デューク西新宿303,080-1899-4910
西新宿５丁目駅　徒歩５分／最大５名／民泊,194133,,,35.6893643,139.6875588,東京都新宿区西新宿4-16-3　マンション西新宿302,080-9423-2729
ＭＩＭＡＲＵ東京　新宿ＷＥＳＴ,180015,,,35.6860572,139.6929838,東京都新宿区西新宿3-3-11,03-6258-1512
かどやホテル＜東京都＞,11230,,,35.68980591,139.6961216,東京都新宿区西新宿1-23-1,03-3346-2561
東京新宿亭ホテル　Ａｓａｈｉ　ｇｒｏｕｐ,179776,,,35.6885572,139.6873653,東京都新宿区西新宿4-18-6,03-6300-7638
旅館一直,179898,,,35.6897162,139.6871381,東京都新宿区西新宿4-12-6,03-6276-0273
京王プレッソイン新宿,38126,,,35.68559239,139.6922971,東京都新宿区西新宿3-4-5,03-3348-0202
キンプトン新宿東京　ｂｙ　ＩＨＧ,178884,,,35.685583,139.6922749,東京都新宿区西新宿3-4-7,03-6258-1111
東急ステイ西新宿,84559,,,35.69100552,139.6867501,東京都新宿区西新宿5-9-8,03-3370-1090
ホテルローズガーデン新宿,53328,,,35.69426645,139.6937994,東京都新宿区西新宿8-1-3,03-3360-1533
西鉄イン新宿,37906,,,35.69419703,139.6942743,東京都新宿区西新宿７丁目23-2,03-3367-5454
ダイワロイネットホテル西新宿　ＰＲＥＭＩＥＲ,167606,,,35.6944563,139.6895259,東京都新宿区西新宿6-12-39,03-5909-8480
ＪＲ九州ホテルブラッサム新宿,146877,,,35.68765414,139.6983423,東京都渋谷区代々木2-6-2,03-5333-8687
レジデンシャルホテル　新宿ビッグハウス,180475,,,35.6947098,139.6949449,東京都新宿区西新宿7-21-10,050-5806-2242
Ｈｏｔｅｌ　ＥＬ　Ｓｈｉｎｊｕｋｕ　６,181373,,,35.6860188,139.6857639,東京都新宿区西新宿4-37-16,070-8915-5655
Ｐｅｎｃｉｌ　Ｈｏｕｓｅ／民泊,185676,,,35.6838642,139.689233,東京都新宿区西新宿3-17-3　Ｐｅｎｃｉｌ　Ｈｏｕｓｅ,090-4533-6111
景雲荘,31557,,,35.68745346,139.6986881,東京都渋谷区代々木2-4-2,03-3370-0333
ＳＴＵＤＩＯ　ＩＮＮ　西新宿,171874,,,35.68518605,139.686298,東京都新宿区西新宿4-38-12,03-6276-5391
ホテルサンルートプラザ新宿,18297,,,35.68720349,139.6988131,東京都渋谷区代々木２丁目３－１,03-3375-3211
アパホテル＆リゾート〈西新宿五丁目駅前タワー〉,165625,,,35.68969902,139.6835179,東京都渋谷区本町3-14-1,0570-027-011
ｎｅｓｔａｙ　ｖｉｌｌａ　ｔｏｋｙｏ　ｓｈｉｎｊｕｋｕ　＾,175376,,,35.6924765,139.6842766,東京都新宿区西新宿5-21-6 nestay villa tokyo shinjuku,080-4630-5817
ＷＰＵ　ＨＯＴＥＬ　ＳＨＩＮＪＵＫＵ,188073,,,35.69387284,139.6982646,東京都新宿区西新宿7-10-5,03-5338-2001
Ｊ－ＡＲＣ新宿／民泊,195459,,,35.6963993,139.6925667,東京都新宿区西新宿8-14-4　J-ARC新宿,080-8500-9217
ホテルマイステイズ西新宿,187081,,,35.6949192,139.6973197,東京都新宿区西新宿7-14-14,03-6853-7717
ビジネスホテル新宿タウンアネクス,142811,,,35.695257,139.697578,東京都新宿区西新宿7-15-3,03-3367-3477
新宿ニッカホテル　＾,190572,,,35.69495211,139.6982398,東京都新宿区西新宿7-9-7　ニッカビル1Ｆ,080-1316-2286
プリネッツ新宿ビル３Ｆ／民泊,190810,,,35.696018,139.6967449,東京都新宿区西新宿7-18-12　プリネッツ新宿ビル,050-1721-4419
小田急ホテルセンチュリーサザンタワー,1356,,,35.68647584,139.7004213,東京都渋谷区代々木2-2-1,03-5354-2172
ｙｋｓｉ　ＳＡＵＮＡ　＆　ＳＴＡＹ,183538,,,35.6958818,139.697396,東京都新宿区西新宿7-16-2,03-6908-8585
ビジネスホテル新宿タウンホテル,109008,,,35.69590248,139.6975017,東京都新宿区西新宿7-16-15,03-3365-2211
プリネッツ新宿ビル４Ｆ／民泊,186874,,,35.6962184,139.6969408,東京都新宿区西新宿7-18-12　プリネッツ新宿ビル,050-1721-4419
ＨＡＭＡ　ＨＩＬＬＳ　新宿　＾,171486,,,35.6977458,139.6889937,東京都新宿区北新宿2-16-10　ＨＡＭＡ　ＨＩＬＬＳ新宿,03-3366-7279
新宿プリンスホテル,1872,,,35.69449716,139.7002682,東京都新宿区歌舞伎町1-30-1,03-3205-1111
ＡＲＴ　ＨＯＴＥＬＳ　ＳＨＩＢＵＹＡ,184606,,,35.6835195,139.6840994,東京都渋谷区本町2-4-4,03-6823-2413
Ｓｅｉｒａｉ　Ｖａｃａｔｉｏｎ　Ｒｅｎｔａｌ　Ｈａｔｓｕｄａｉ　＾,186494,,,35.6843992,139.6829921,東京都渋谷区本町2-39-17　Ｓｅｉｒａｉ　Ｖａｃａｔｉｏｎ　Ｒｅｎｔａｌ　Ｈａｔｓｕｄａｉ,070-4749-4704
新宿シティハウス　Ｓｈｉｎｊｕｋｕ　Ｃｉｔｙ　Ｈｏｕｓｅ／民泊,189392,,,35.6829005,139.6989651,東京都渋谷区代々木1-44-5　新宿シティハウス,050-5491-6892
将ハウス,172136,,,35.68281673,139.6992172,東京都渋谷区代々木1-43-2,050-8880-4077
安心お宿　Ｔｏｋｙｏ　Ｍａｎ　新宿駅南口店,147662,,,35.6893351,139.7029496,東京都新宿区新宿4-2-10,03-6856-3224
岡田ビル５Ｆ／民泊,193871,,,35.6972013,139.6979664,東京都新宿区西新宿7-5-12　岡田ビル,050-1721-4419
岡田ビル４Ｆ／民泊,189927,,,35.6972087,139.6979779,東京都新宿区西新宿7-5-12　岡田ビル,050-1721-4419
シャトレー代々木／民泊,195650,,,35.682037,139.6984665,東京都渋谷区代々木1-10-7,070-4442-3502
ＴＳアネックス代々木／民泊,195462,,,35.6820492,139.6985862,東京都渋谷区代々木1-10-8　TSアネックス代々木 201,080-8500-9217
ＢＯＯＫ　ＡＮＤ　ＢＥＤ　ＴＯＫＹＯ　ＳＨＩＮＪＵＫＵ,167230,,,35.6954398,139.7005774,東京都新宿区歌舞伎町1-27-5APMビル8階,03-6233-9511
グラシアス渋谷本町　＾,171502,,,35.6870275,139.6805193,東京都渋谷区本町4-10-2　Ｇｒａｃｉａｓ　Ｓｈｉｂｕｙａ　Ｈｏｎｍａｃｈｉ,090-4831-4704
ＨＯＴＥＬ　ＫＡＢＵＫＩ,187965,,,35.693957,139.701927,東京都新宿区歌舞伎町1-16-9,03-6709-6171
Ｂｏｏｔｈ　ＮｅｔＣａｆｅ＆Ｃａｐｓｕｌｅ,153488,,,35.6941761,139.7018717,東京都新宿区歌舞伎町1-15-5,03-3200-4908
ＢＥＬＬＵＳＴＡＲ　ＴＯＫＹＯ，　Ａ　Ｐａｎ　Ｐａｃｉｆｉｃ　Ｈｏｔｅｌ,184500,,,35.6959193,139.7005264,東京都新宿区歌舞伎町一丁目２９番１,03-6233-8800
ＨＯＴＥＬ　ＧＲＯＯＶＥ　ＳＨＩＮＪＵＫＵ，　Ａ　ＰＡＲＫＲＯＹＡＬ　Ｈｏｔｅｌ,184501,,,35.6959193,139.7005264,東京都新宿区歌舞伎町一丁目２９番１,03-6233-8888
ＴＯＫＹＯ　ＳＴＡＹ　Ｓｈｉｎｊｕｋｕ,187064,,,35.6983831,139.6962627,東京都新宿区北新宿1-2-9,03-4361-0183
新宿坂上ハウス／民泊,171265,,,35.6944824,139.6815571,東京都中野区本町2-28-14　Ｓｈｉｎｊｕｋｕ　Ｗａｎｔｏ　Ｈｏｕｓｅ,090-9100-2281
全理連　代々木の宿（旧　全理連宿泊部）,70277,,,35.68384834,139.7014062,東京都渋谷区代々木1-36-4全理連ビル7階,03-3379-4181
グランディオーソ初台／民泊,174316,,,35.6825075,139.6833351,東京都渋谷区本町1-47-3,050-3138-6036
さくら代々木／民泊,195534,,,35.6816955,139.6993341,東京都渋谷区代々木1-6-3　さくら代々木,080-8500-9217
スマイルハウス／民泊,194067,,,35.6846333,139.680938,東京都渋谷区本町2-29-7Ｂ棟　Ｓｍｉｌｅ　Ｈｏｕｓｅ,03-3320-7701
アパホテル〈新宿　歌舞伎町タワー〉,149094,,,35.69593338,139.7012182,東京都新宿区歌舞伎町1丁目20-2,0570-053-811
ホテルグレイスリー新宿,147436,,,35.6953205,139.7019689,東京都新宿区歌舞伎町1-19-1,03-6833-2489
スタイルウッド西新宿,197556,,,35.6846076,139.680629,東京都渋谷区本町2-26-15,080-8500-9217
代々木ホームズ／民泊,195089,,,35.6818811,139.7003313,東京都渋谷区代々木1-25-1,090-4742-0009
ＡＰＡＲＴＭＥＮＴ　ＨＯＴＥＬ　ＳＨＩＮＪＵＫＵ（アパートメントホテル　シンジュク）,180424,,,35.68808087,139.7043545,東京都新宿区新宿4-4-10,03-6273-0991
新宿ビジネスホテル,15308,,,35.68936187,139.7047052,東京都新宿区新宿4-4-21,03-3341-1822
Ｈｏｔｅｌ＆Ｃｏ．　Ｓａｇａｍｉ,153463,,,35.6889546,139.7047522,東京都新宿区新宿4-4-18,03-3341-3508
ビジネスホテル　すえひろ,41042,,,35.688333,139.704762,東京都新宿区新宿4-4-14,03-3341-3181
グローバルステイ北新宿,183721,,,35.6999596,139.6887782,東京都新宿区北新宿2-10-7,03-6629-2097
ＳＰＡＣＥ　Ｆ　ＹＯＹＯＧＩ　Ｖ,180601,,,35.6855992,139.7040313,東京都渋谷区千駄ヶ谷5-29-2　ＳＰＡＣＥ　Ｆ　ＹＯＹＯＧＩ　Ｖ,050-5526-5346
エブリネット新宿ＩＩ／民泊,195558,,,35.6886715,139.7049459,"東京都新宿区新宿4-4-15　エブリネット新宿II101,202",080-8500-9217
メゾン柏木／民泊,194564,,,35.7003061,139.6915961,東京都新宿区北新宿1-31-14　メゾン柏木,03-6231-0330
新宿区役所前カプセルホテル,56749,,,35.69371679,139.7039846,東京都新宿区歌舞伎町1-2-5東陽ビル3F,050-1807-3414
ＣＯＣＯ新宿　＾,171686,,,35.6987058,139.6988557,東京都新宿区百人町1-14-12　ＣＯＣＯ　Ｓｈｉｎｊｕｋｕ,090-2106-1740
ＡＣＯＥ　ＦＵＹＵ　ＨＡＴＳＵＤＡＩ／民泊,195624,,,35.6805473,139.6839688,東京都渋谷区本町1-7-11　ACOE FUYU HATSUDAI,070-4749-4704
Ｍａｒｉｎｅ　Ｃｏｖｅ　初台,197678,,,35.6819674,139.6817954,東京都渋谷区本町2-15-1,080-8500-9217
アパホテル〈新宿　歌舞伎町中央〉（全室禁煙）,172880,,,35.69583297,139.7028187,東京都新宿区歌舞伎町2-26-5,0570-014-711 
シタディーンセントラル新宿東京,69292,,,35.69426117,139.7040152,東京都新宿区歌舞伎町1-2-9,03-3200-0220
ＳＴＡＹ　ＣＯＯＬ　ＴＯＫＹＯ,173060,,,35.69865033,139.6996259,東京都新宿区百人町1-12-25,03-5389-7968
山手レストハウス,164700,,,35.6986111,139.6997729,東京都新宿区百人町1-9-5,03-3361-3228
代々木フラッツ／民泊,190639,,,35.6806388,139.7004161,東京都渋谷区代々木1-4-1　代々木フラッツ,070-4805-6199
ＵＮＯカプセルホテル大久保,178965,,,35.69975642,139.6976752,東京都新宿区百人町1-23-21　蕃ビル2Ｆ,03-5937-2170
高濃度炭酸泉　演舞の湯　スーパーホテル新宿歌舞伎町,147193,,,35.6969647,139.702241,東京都新宿区歌舞伎町2丁目39-9,03-6855-9000
プレミアホテル－ＣＡＢＩＮ－新宿,858,,,35.69723579,139.7020652,東京都新宿区歌舞伎町2-40-3,03-3205-6300
Ｈｏｌｉｄａｙ　Ａｎｙｔｅｌ　Ｓｈｉｎｊｕｋｕ,177968,,,35.700221,139.6966206,東京都新宿区百人町1-21-7　アサショウビル,03-6881-7730
代々木ニューフラッツ／民泊,190641,,,35.68062246,139.7006883,東京都渋谷区代々木1-4-1　代々木ニューフラッツ,070-4805-6199
ラ・ジェント・ホテル新宿歌舞伎町,172974,,,35.69746238,139.7020243,東京都新宿区歌舞伎町2-40-5,03-5291-1201
カプセルホテル新宿５１０,31109,,,35.69724413,139.7023068,東京都新宿区歌舞伎町2-40-1,03-3200-6151
メリス歌舞伎町／民泊,194642,,,35.69423841,139.7047274,東京都新宿区歌舞伎町1-1-5メリス歌舞伎町　Ｍｅｌｉｃｅ　Ｋａｂｕｋｉｃｈｏ,03-6809-7321
エコロ新宿第二ビル／民泊,195117,,,35.6958413,139.703762,東京都新宿区歌舞伎町2-24-7,050-1721-4419
ホテルアマネク新宿歌舞伎町,184865,,,35.6957758,139.7038218,東京都新宿区歌舞伎町2-24-10,03-6265-9140
住友不動産ホテル　ヴィラフォンテーヌ東京新宿,80759,,,35.69746077,139.7023624,東京都新宿区歌舞伎町2-40-9,03-5292-3330
ホテルラピア【大人専用１８禁・ハピホテ提携】,163342,,,35.6966926,139.7033131,東京都新宿区歌舞伎町2-29-2,03-5272-2471
東急ステイ新宿,147784,,,35.6908711,139.7062186,東京都新宿区新宿3-7-1,03-3353-0109
ＨＯＴＥＬ　ＥＭＰＩＲＥ　ＩＮ　ＳＨＩＮＪＵＫＵ,137033,,,35.70001039,139.6988765,東京都新宿区百人町1-15-33,03-3367-2896
Ｈｏｔｅｌ　Ｂｌｕｅ　Ｅｍｐｉｒｅ　ｉｎ　新宿,172040,,,35.7002089,139.6985762,東京都新宿区百人町1-15-8,070-9037-8825
椿／民泊,195020,,,35.68366608,139.6786713,東京都渋谷区本町6-15-18　Ｔｓｕｂａｋｉ,03-3320-7701
ホテル　シェーナ,16373,,,35.69592766,139.7044762,東京都新宿区歌舞伎町2-22-1,03-3232-6711
ホテル松の井　酒林,197278,,,35.6999287,139.6995734,東京都新宿区百人町1-11-32,050-1792-0813
Ｎａｎｏ　北新宿,180461,,,35.701655,139.6938596,東京都新宿区北新宿1-12-5,080-8500-9217
Ｎｏｒｔｈ　Ｃｏｔｔａｇｅ　＾,185674,,,35.6772255,139.692314,東京都渋谷区代々木5-56-3　Ｎｏｒｔｈ　Ｃｏｔｔａｇｅ,090-4533-6111
ＨＯＴＥＬ　ＣＥＮ,176798,,,35.69907268,139.7011964,東京都新宿区百人町1-5-19,03-6278-9901
Ｔｈｅ　ＧＬＯＢＡＬ　ＨＯＴＥＬ　ＴＯＫＹＯ,167870,,,35.6993449,139.7007717,東京都新宿区百人町1-8-17,03-6228-0218
新大久保国際ホテル,145084,,,35.698957,139.7015,東京都新宿区百人町1-1-10,03-3232-5931
ホテルリブマックス新宿歌舞伎町,177580,,,35.69731845,139.7034969,東京都新宿区歌舞伎町2-33-3,03-3207-0710
ＨＯＴＥＬ　Ｓｔｅｌｌａｔｅ【大人専用１８禁・ハピホテ提携】,163345,,,35.6957872,139.7050102,東京都新宿区歌舞伎町2-11-1,03-3232-8511
ＬｉｖｅＧＲＡＣＥ　Ｈｏｔｅｌ　渋谷西新宿　＾,186590,,,35.6799869,139.6817057,東京都渋谷区本町1-14-6号,070-3343-2271
サウナセンター新大久保,187657,,,35.7001088,139.6999325,東京都新宿区百人町1-10-6,03-3362-9712
４６・【新宿Ｓｕｎｎｙ】貸切高級ハワス　＾,170479,,,35.7005288,139.6990657,東京都新宿区百人町2-1-46　新宿Ｓｕｎｎｙ,070-8909-5588
ＢＥＳＴ　ＨＯＴＥＬ,180367,,,35.6992002,139.7015159,東京都新宿区百人町1-2-3,03-6228-0303
ＲＩＳＥ　ＨＯＴＥＬ　ＳＨＩＮＪＵＫＵ／民泊,199795,,,35.69497405,139.7056409,東京都新宿区歌舞伎町2-8-3 ｂｏａｍａｘ,080-5830-8958
ゲストハウス　Ｇ’Ｉｎｎ,166952,,,35.69770369,139.7034932,東京都新宿区歌舞伎町2-31-3,03-6228-0673
Ｒ１．東京新宿中心地．広々とした和風モダン部屋／民泊,170457,,,35.6992296,139.7018472,東京都新宿区百人町1-1-14　小野マンション,050-5444-6620
ＨＯＴＥＬ　ＴＨＥ　ＬＯＯＰ　新宿／新大久保,184880,,,35.6994734,139.7015693,東京都新宿区百人町1-2-5,03-6380-2350
ＨＯＴＥＬ　ＷーＡＲＡＭＩＳ【大人専用１８禁・ハピホテ提携】,163218,,,35.6954289,139.7057185,東京都新宿区歌舞伎町2-7-4,03-5291-1955
東横ＩＮＮ新宿歌舞伎町,108351,,,35.69733861,139.7042622,東京都新宿区歌舞伎町2-20-15,03-5155-1045
ＳＬＥＥＰＬＡＢ　ＴＨＥ　ＳＴＡＹ　西新宿　＾,186077,,,35.6874585,139.6760434,東京都中野区弥生町3-1-16　Ｔｈｅ　Ｂａｒｏｎ3116　302号室　ＳＬＥＥＰＬＡＢ　ＴＨＥ　ＳＴＡＹ　Ｎｉｓｈｉ-Ｓｈｉｎｊｕｋｕ,080-7354-1297
ＳＬＥＥＰＬＡＢ　ＴＨＥ　ＳＴＡＹ　西新宿,187076,,,35.687453,139.6760366,東京都中野区弥生3-1-16 The Baron 302号室,06-7713-1349
新宿アーバンホテル,41389,,,35.69499726,139.7060566,東京都新宿区歌舞伎町2-8-12,03-3209-1231
ガイア歌舞伎町壱番館／民泊,199487,,,35.6952373,139.7059162,東京都新宿区歌舞伎町2-8-9　ガイア歌舞伎町壱番館５０３,050-8895-1647
Ｃｏｏｌ　ｓｙｏｗａ　ｒｅｔｒｏ　ｓｔｙｌｅ　ＭＡＮＧＡ＆ＡＮＩＭＥ　Ａｐｔ　ＳＩＮＪＵＫＵ　／民泊,190104,,,35.6995017,139.7017289,東京都新宿区百人町1-2-9　尚美ビル2　208,080-3037-0627
笑楽宿／民泊,175428,,,35.6994199,139.701897,東京都新宿区百人町1-1-16 ,090-6034-2677
ＨＯＴＥＬ　ＷーＢＡＧＵＳ【大人専用１８禁・ハピホテ提携】,163223,,,35.6964982,139.7050796,東京都新宿区歌舞伎町2-13-1,03-3202-2525
Ｌｕｃｋｙ　Ｈｏｓｔｅｌ　＾,186649,,,35.7022291,139.6945077,東京都新宿区北新宿3-1-4　Ｌｕｃｋｙ　Ｈｏｓｔｅｌ,080-6599-3999
アパホテル〈東新宿　歌舞伎町タワー〉,180333,,,35.6979782,139.7038617,東京都新宿区歌舞伎町2-31-12,0570-033-311
ＨＯＴＥＬ　ＡＴＬＡＳ【大人専用１８禁・ハピホテ提携】,163263,,,35.6962066,139.7054463,東京都新宿区歌舞伎町2-12-9,03-3209-5567
Ｓａｍｕｒａｉ　Ｈｏｕｓｅ　Ｔｏｋｙｏ　＾,190525,,,35.6937271,139.6765241,東京都中野区本町3-8-2　Ｓａｍｕｒａｉ　Ｈｏｕｓｅ,090-4533-6111
東京アコモＮＳ,179599,,,35.6930217,139.6762427,東京都中野区弥生町2-9-5　ＫＳコーポ202,050-3634-9589
ＴＯＫＹＯ　ＪＯＹＳＴＡＹ　ＩＮＮ,180147,,,35.6884868,139.6756936,東京都中野区弥生町3-5-18　グレースＦ1Ｆ,080-7008-5849
ＨＯＴＥＬ　ＴＨＥ　ＨＯＴＥＬ【大人専用１８禁・ハピホテ提携】,163274,,,35.696205,139.705545,東京都新宿区歌舞伎町2-12-10,03-6380-3737
ＥＬＥ　Ｃａｂｉｎ　ＳｈｉｎｊｕｋｕＫａｂｕｋｉｃｈｏ,187660,,,35.69744314,139.704537,東京都新宿区歌舞伎町2-19-3,03-6233-9191
Ｄｅｓｉｇｎｅｒ’ｓ　ＨＯＴＥＬ　Ｐｅｒｒｉｅｒ【大人専用１８禁・ハピホテ提携】,163401,,,35.6955344,139.7060545,東京都新宿区歌舞伎町2-7-12,03-3207-5921
シティホテル甲隆閣,181688,,,35.701939,139.6969053,東京都新宿区百人町2-23-48 ホテル甲隆閣,03-3369-5526
ｐｏｄ　ｓｅｌｅｃｔ　ＨＯＴＥＬ　新宿,182751,,,35.6906458,139.707871,東京都新宿区新宿2-12-12,03-5362-1010
藤フラッツ　＾,195150,,,35.7010954,139.6995336,東京都新宿区百人町1-11-19　藤フラッツ,090-5557-2935
新宿グランベルホテル,144994,,,35.696582,139.705517,東京都新宿区歌舞伎町2-14-5,03-5155-2666
ホテルグランフォート　＾,190900,,,35.7009717,139.7000263,東京都新宿区百人町1-10-12　ホテルグランフォート,080-3114-9364
Ｈｏｔｅｌ　ＱＵＥＥＮ　ＡＮＮＥＸ,184910,,,35.689997,139.708095,東京都新宿区新宿2-10-6,03-6384-2401
ホテル　サンライト新宿,1026,,,35.69421682,139.7070788,東京都新宿区新宿5-15-8,03-3356-0391
ＳＬＥＥＰＬＡＢ　ＴＨＥ　ＳＴＡＹ　西新宿Ａｎｎｅｘ,187077,,,35.6865864,139.6756347,東京都中野区南台1-5-8 エミリオ西新宿401,06-7713-1349
ＨＯＴＥＬ　ＲＯＣＫＳ新宿,135981,,,35.68987567,139.708165,東京都新宿区新宿2-10-4,03-5367-6969
ｉｌｌｉ　Ｎｕｔｏ　Ｓｈｉｎｊｕｋｕ,198344,,,35.6922137,139.7078294,東京都新宿区新宿5-11－2 フィル・パーク新宿三番街II 2F-5F,050-1720-7210
ＰＯＩＮＴ－新宿（歌舞伎町）デザイナーズマンション　Ｉ／民泊,170781,,,35.697948,139.7045,東京都新宿区歌舞伎町2-19-12　レジデンシャルステージ東新宿904　ＰＯＩＮＴ-Ｓｈｉｎｊｕｋｕ　（Ｋａｂｕｋｉｃｈｏ）　Ｄｅｓｉｇｎｅｒ＇ｓ　Ｍａｎｓｉｏｎ　Ｉ,050-5444-6620
ＰＯＩＮＴ－新宿（歌舞伎町）デザイナーズマンション　ＩＩ／民泊,170789,,,35.697948,139.7045,東京都新宿区歌舞伎町2-19-12　レジデンシャルステージ東新宿706　ＰＯＩＮＴ-Ｓｈｉｎｊｕｋｕ　（Ｋａｂｕｋｉｃｈｏ）　Ｄｅｓｉｇｎｅｒ＇ｓ　Ｍａｎｓｉｏｎ　ＩＩ,070-7413-0563
Ｄ旅館　歌舞伎町／民泊,190896,,,35.697948,139.7045,東京都新宿区歌舞伎町2-19-12　レジデンシャルステージ東新宿　204号室,050-1726-0153
Ｋａｗａｎｏｓｏ　Ｓｈｉｎｊｕｋｕ・大久保駅徒歩１分／民泊,176043,,,35.7020537,139.6974593,東京都新宿区百人町2-21-2　川野荘,070-4749-4704
ｅｔｏｅ,167782,,,35.70191233,139.6979363,東京都新宿区百人町2-20-24,050-1726-0426
ナインアワーズウーマン新宿,183845,,,35.69032904,139.7082211,東京都新宿区新宿2-13-7,050-1807-3096
アパホテル〈東新宿　歌舞伎町〉,147545,,,35.6979313,139.7045991,東京都新宿区歌舞伎町2-19-14,0570-014-811
ヴィアイン新宿（ＪＲ西日本グループ）,130006,,,35.69359777,139.7076137,東京都新宿区新宿5-11-16,03-3226-5489
Ｆａｃｔ　Ｄｒｅａｍ　Ｈｏｕｓｅ／民泊,170598,,,35.6926086,139.7079608,東京都新宿区新宿5-11-2　Ｆａｃｔ　Ｄｒｅａｍ　Ｈｏｕｓｅ,03-6479-8758
新大久保シティホテル,145083,,,35.700479,139.701531,東京都新宿区百人町1-4-9,03-5287-6061
東京プラザホテル,134834,,,35.70187684,139.698632,東京都新宿区百人町2-15-1,03-3366-0707
ＦＣ　ＨＯＵＳＥ　ＳＨＩＢＵＹＡ＿２０１　＾,171576,,,35.6778834,139.6829818,東京都渋谷区初台2-15-7　メゾンド・オーブ2階、3階　ＳＨＩＢＵＹＡ　Ｎｏ．1～Ｎｏ．3,090-7847-6802
ＳＨＩＢＵＹＡ　Ｎｏ．２Ｎｏ．３／民泊,185136,,,35.6778834,139.6829818,東京都渋谷区初台2-15-7メゾンドオーブ　ＳＨＩＢＵＹＡ　Ｎｏ．2，Ｎｏ．3,090-7847-6802
エブリネット新宿Ⅰ／民泊,195537,,,35.6927173,139.7080306,東京都新宿区新宿5-11-26　エブリネット新宿I 301,080-8500-9217
エブリネット新宿,197546,,,35.6927173,139.7080306,東京都新宿区新宿5-11-26,080-8500-9217
ＩＭＡＮＯ　ＴＯＫＹＯ　ＨＯＳＴＥＬ,149368,,,35.69362153,139.7077274,東京都新宿区新宿5-12-2,03-5362-7161
ＨＯＴＥＬ　ＫＯＹＡＭＡ　ＳＨＩＮＪＵＫＵ,172968,,,35.7024808,139.6970729,東京都新宿区百人町2-21-10,369085785
ＳＵＮＦＬＯＷＥＲ　ＨＯＵＳＥ　新大久保駅徒歩６分観光、ビジネス、韓国イケメン通り　＾,186508,,,35.6994811,139.7032534,東京都新宿区大久保1-13-5　ＳＵＮＦＬＯＷＥＲ　ＨＯＵＳＥ,090-5761-0513
ホテル　松の井,51653,,,35.70105199,139.7009318,東京都新宿区百人町1-7-19,050-1726-5852
アパホテル〈東新宿　歌舞伎町東〉,160689,,,35.6980202,139.7051045,東京都新宿区歌舞伎町2-17-7,0570-014-911
中野シエスタプリムラ,197224,,,35.6884345,139.6747275,東京都中野区弥生町3-33-18,050-1741-9933
Ｓｔａｙ　ＳＡＫＵＲＡ　Ｔｏｋｙｏ　百蔵,178365,,,35.7028865,139.6961431,東京都新宿区百人町2-24-30,050-2018-7882
歌舞伎町二丁目　東新宿駅２分　超便利　試合や大会　合宿、練習　ライブ　イベント／民泊,190204,,,35.69633043,139.7066143,東京都新宿区歌舞伎町2-2-10　スリーゴールド東新宿ビル　3Ａ,090-1531-4530
ビスポークホテル新宿,168725,,,35.69611479,139.7067761,東京都新宿区歌舞伎町2-2-17,03-6278-9559
Ｄｅｓｉｇｎｅｒ’ｓ　ＨＯＴＥＬ＆ＳＰＡ　Ｊ－ＭＥＸ【大人専用１８禁・ハピホテ提携】,163400,,,35.6970426,139.7061239,東京都新宿区歌舞伎町2-5-6,03-3205-2223
アパホテル〈新宿御苑前〉（全室禁煙）,146108,,,35.68886672,139.7088423,東京都新宿区新宿2-2-8,0570-033-622
ＡＮＤＡＮＴＥ／民泊,169916,,,35.7029608,139.6967513,東京都新宿区百人町2-23-40　ＡＮＤＡＮＴＥ,090-5269-5934
